[726/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:80  	cond:0
[727/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:200  	lastexch:80  	cond:0
[729/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:10  	lastexch:68  	cond:37
[730/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[737/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:675  	lastexch:68  	cond:0
[744/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:19  	lastexch:68  	cond:37
[755/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:122  	lastexch:75  	cond:0
[757/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:121  	lastexch:80  	cond:0
[758/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:63  	lastexch:75  	cond:37
[759/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:9  	lastexch:68  	cond:37
[763/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[764/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:70  	lastexch:68  	cond:37
[765/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:3  	lastexch:68  	cond:37
[766/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[767/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:335  	lastexch:68  	cond:0
[773/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:75  	cond:0
[777/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:60  	lastexch:80  	cond:37
[778/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:151  	lastexch:80  	cond:0
[779/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:150  	lastexch:80  	cond:0
[780/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:6  	lastexch:80  	cond:37
[785/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:85  	lastexch:80  	cond:37
[786/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:202  	lastexch:80  	cond:0
[787/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:46  	lastexch:80  	cond:37
[788/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:350  	lastexch:84  	cond:0
[789/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:50  	lastexch:84  	cond:37
[790/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:50  	lastexch:84  	cond:37
[793/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:129  	lastexch:80  	cond:0
[794/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:71  	lastexch:80  	cond:37
[795/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:3  	lastexch:68  	cond:37
[796/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:54  	lastexch:68  	cond:37
[799/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:65  	lastexch:68  	cond:37
[800/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:20  	lastexch:68  	cond:37
[802/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:13  	lastexch:80  	cond:37
[803/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:87  	lastexch:80  	cond:37
[804/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:175  	lastexch:68  	cond:0
[805/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:10  	lastexch:68  	cond:37
[806/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:34  	lastexch:68  	cond:37
[812/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:129  	lastexch:80  	cond:0
