[379/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:100  	lastexch:75  	cond:0
[380/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:100  	lastexch:80  	cond:0
[381/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:91  	lastexch:90  	cond:37
[386/47861] [12/1/2014 9:32:55] TRADE   	[last:56.84  	lastsize:100  	lastexch:80  	cond:0
[387/47861] [12/1/2014 9:32:55] TRADE   	[last:56.84  	lastsize:100  	lastexch:75  	cond:0
[392/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:60  	lastexch:78  	cond:37
[393/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:360  	lastexch:80  	cond:0
[400/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:75  	cond:0
[401/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:84  	cond:0
[402/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:90  	cond:0
[404/47861] [12/1/2014 9:33:1] TRADE   	[last:56.89  	lastsize:100  	lastexch:68  	cond:0
[406/47861] [12/1/2014 9:33:2] TRADE   	[last:56.94  	lastsize:100  	lastexch:78  	cond:0
[431/47861] [12/1/2014 9:33:15] TRADE   	[last:56.85  	lastsize:200  	lastexch:75  	cond:0
[433/47861] [12/1/2014 9:33:15] TRADE   	[last:56.91  	lastsize:100  	lastexch:78  	cond:0
[438/47861] [12/1/2014 9:33:15] TRADE   	[last:56.86  	lastsize:100  	lastexch:78  	cond:0
[449/47861] [12/1/2014 9:33:20] TRADE   	[last:56.82  	lastsize:100  	lastexch:78  	cond:0
[450/47861] [12/1/2014 9:33:20] TRADE   	[last:56.96  	lastsize:1  	lastexch:68  	cond:37
[453/47861] [12/1/2014 9:33:22] TRADE   	[last:56.82  	lastsize:100  	lastexch:89  	cond:0
[455/47861] [12/1/2014 9:33:26] TRADE   	[last:56.8652  	lastsize:100  	lastexch:68  	cond:0
[458/47861] [12/1/2014 9:33:28] TRADE   	[last:56.84  	lastsize:100  	lastexch:68  	cond:0
[464/47861] [12/1/2014 9:33:36] TRADE   	[last:56.8686  	lastsize:500  	lastexch:68  	cond:0
[466/47861] [12/1/2014 9:33:37] TRADE   	[last:56.801  	lastsize:3  	lastexch:68  	cond:37
[471/47861] [12/1/2014 9:33:40] TRADE   	[last:56.90  	lastsize:1  	lastexch:66  	cond:37
[479/47861] [12/1/2014 9:34:9] TRADE   	[last:56.82  	lastsize:100  	lastexch:89  	cond:0
[480/47861] [12/1/2014 9:34:9] TRADE   	[last:56.82  	lastsize:46  	lastexch:89  	cond:37
[483/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:200  	lastexch:78  	cond:0
[485/47861] [12/1/2014 9:34:13] TRADE   	[last:56.8006  	lastsize:500  	lastexch:68  	cond:0
[486/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:200  	lastexch:68  	cond:0
[488/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:100  	lastexch:80  	cond:0
[489/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:100  	lastexch:84  	cond:0
[490/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:1  	lastexch:84  	cond:37
[491/47861] [12/1/2014 9:34:13] TRADE   	[last:56.80  	lastsize:424  	lastexch:84  	cond:0
[493/47861] [12/1/2014 9:34:13] TRADE   	[last:56.79  	lastsize:100  	lastexch:75  	cond:0
[497/47861] [12/1/2014 9:34:24] TRADE   	[last:56.78  	lastsize:200  	lastexch:78  	cond:0
[498/47861] [12/1/2014 9:34:24] TRADE   	[last:56.80  	lastsize:100  	lastexch:90  	cond:0
[501/47861] [12/1/2014 9:34:24] TRADE   	[last:56.77  	lastsize:300  	lastexch:75  	cond:0
[502/47861] [12/1/2014 9:34:24] TRADE   	[last:56.78  	lastsize:100  	lastexch:90  	cond:0
[503/47861] [12/1/2014 9:34:24] TRADE   	[last:56.80  	lastsize:100  	lastexch:84  	cond:0
[506/47861] [12/1/2014 9:34:24] TRADE   	[last:56.80  	lastsize:100  	lastexch:68  	cond:0
[507/47861] [12/1/2014 9:34:24] TRADE   	[last:56.80  	lastsize:100  	lastexch:68  	cond:0
